naam,stadsdeel,straat,huisnr,postcode,lat,long
SEASON STAR HOTEL,Centrum,MARTELAARSGRACHT,18,1012TR,52.3780853,4.8961552
ALFA AMSTERDAM HOTEL,Centrum,MARTELAARSGRACHT,14,1012TR,52.378108,4.8962928
BELLEVUE HOTEL,Centrum,MARTELAARSGRACHT,10,1012TP,52.3781288,4.8964608
LIBERTY HOTEL,Centrum,SINGEL,5,1012VC,52.3782474,4.8938983
WEST VIOLET B&B,Centrum,VIOLETTENSTRAAT,4,1015NP,52.3784155,4.8848918
A-TRAIN HOTEL,Centrum,PRINS HENDRIKKADE,23,1012TM,52.3784389,4.8962961
AROZA HOSTEL,Centrum,NIEUWENDIJK,23,1012LZ,52.3784626,4.8953735
GROENENDAEL HOTEL,Centrum,NIEUWENDIJK,15,1012LZ,52.3786464,4.8952452
HOTEL PLANT,Centrum,PRINS HENDRIKKADE,15,1012TL,52.3787482,4.8956538
MULTATULI HOTEL,Centrum,PRINS HENDRIKKADE,12,1012TL,52.3788468,4.8955327
CHIC AND BASIC,Centrum,HERENGRACHT,13,1015BA,52.3788563,4.892198
SEBASTIAN'S HOTEL,Centrum,KEIZERSGRACHT,15-17,1015CC,52.3790973,4.8900022
ACACIA HOTEL,Centrum,LINDENGRACHT,251,1015KH,52.3794022,4.8804903
IBIS AMSTERDAM CENTRE,Centrum,STATIONSPLEIN,49,1012AB,52.379707,4.8971376
REGAL HOTEL-THE,Centrum,BINNEN WIERINGERSTRAAT,7,1013EA,52.3798013,4.8926134
POSTHOORN B&B,Centrum,PRINSENGRACHT,7,1015DK,52.3799556,4.8882675
QUENTIN ARRIVE HOTEL,Centrum,HAARLEMMERSTRAAT,65-67,1013EL,52.3799921,4.8925976
MY HOME HOTEL,Centrum,HAARLEMMERSTRAAT,82,1013EV,52.3805313,4.8915524
ART HOTEL DULAC,Centrum,HAARLEMMERSTRAAT,120,1013EX,52.3808957,4.8903861
SCHRODER HOTEL,Centrum,HAARLEMMERDIJK,48B,1013JE,52.3822837,4.8881096
BLOEIENDE RAMENAS- HOTEL CAFE,Centrum,HAARLEMMERDIJK,61,1013KB,52.3823622,4.8874605
Hotel Room Mate Aitana,Centrum,IJDok,6,1013MM,52.3842356,4.8949157
CITY HOTEL AMSTERDAM,Centrum,PRINS HENDRIKKADE,130,1011AP,52.3738978,4.9053705
INTERNATIONAAL DELPORT BV- HOTEL,Centrum,WARMOESSTRAAT,1-3,1012HT,52.3762243,4.8995427
COSMOS AMSTERDAM HOTEL,Centrum,NIEUWE NIEUWSTRAAT,17,1012NG,52.375317,4.8934963
IL FIORE BED & BREAKFAST,Centrum,LINDENGRACHT,25-1,1015KB,52.3804787,4.8870183
BASTION HOTEL AMSTERDAM AMSTEL,Nieuw-West,VERL VAN MARWIJK KOOYSTRAAT,30,1096BX,52.3336823,4.9276477
MERCURE AMSTERDAM AIRPORT,Nieuw-West,OUDE HAAGSEWEG,20,1066BW,52.33718,4.8165916
ARTEMIS HOTEL,Nieuw-West,JOHN M.KEYNESPLEIN,2,1066EP,52.3417894,4.824952
WEST SIDE INN HOTEL,Nieuw-West,VOORBURGSTRAAT,250,1059VD,52.3487298,4.8426521
BASTION HOTEL AMSTERDAM CENTRUM,Nieuw-West,HENDRIKJE STOFFELSSTRAAT,60,1058GC,52.3574077,4.8435285
WESTCORD FASHION HOTEL AMSTERDAM,Nieuw-West,HENDRIKJE STOFFELSTRAAT,1,1058GC,52.3574264,4.8445321
BASTION HOTEL AMSTERDAM CENTRUM/Z.W.,Nieuw-West,NACHTWACHTLAAN,11,1058EV,52.3575334,4.8436303
CENTRE HOTEL,Nieuw-West,NICOLAAS ANSLIJNSTRAAT,87,1068WS,52.3576522,4.8080457
REMCO HOTEL,Nieuw-West,REIMERSWAALSTRAAT,5,1069AE,52.3624309,4.7947556
RAMADA APOLLO AMSTERDAM CENTRE,Nieuw-West,STAALMEESTERSLAAN,410,1057PH,52.3681227,4.8440078
